Airline,Source,Destination,Route,Duration,Total_Stops,month,day in a month,Dep_hour,Dep_minute,Arrival_Hour,Arrival_Minute
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1580,1,5,15,20,20,22,40
IndiGo,Delhi,Cochin,DEL → BOM → COK,625,1,6,9,10,35,21,0
Air India,Kolkata,Banglore,CCU → DEL → BLR,625,1,5,1,10,0,20,25
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,535,1,6,12,10,20,19,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,885,1,5,18,21,50,12,35
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,435,1,3,1,14,5,21,20
IndiGo,Delhi,Cochin,DEL → BOM → COK,755,1,3,3,8,25,21,0
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,4,12,17,45,20,45
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4,24,22,15,0,50
IndiGo,Banglore,New Delhi,BLR → DEL,175,0,3,3,20,0,22,55
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,570,1,6,1,11,30,21,0
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,455,1,5,18,14,55,22,30
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,3,1,14,40,17,5
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,440,1,3,3,18,15,1,35
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,385,1,5,21,12,50,19,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1570,1,5,18,2,15,4,25
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,555,1,5,18,13,15,22,30
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,505,1,5,18,9,35,18,0
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,4,6,7,10,10,10
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1165,1,3,27,9,0,4,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,325,1,3,15,7,0,12,25
IndiGo,Banglore,Delhi,BLR → DEL,170,0,5,1,22,10,1,0
Air India,Banglore,Delhi,BLR → DEL,165,0,6,1,10,0,12,45
Jet Airways,Mumbai,Hyderabad,BOM → JDH → DEL → HYD,500,2,3,12,8,15,16,35
SpiceJet,Chennai,Kolkata,MAA → CCU,135,0,5,24,9,45,12,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,480,1,6,27,13,0,21,0
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,5,6,5,45,7,15
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,755,1,3,27,6,40,19,15
Air India,Mumbai,Hyderabad,BOM → HYD,75,0,6,18,19,30,20,45
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,625,1,3,1,8,0,18,25
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,6,24,17,45,20,45
Air India,Kolkata,Banglore,CCU → DEL → BLR,1435,1,3,24,20,30,20,25
IndiGo,Delhi,Cochin,DEL → BOM → COK,965,1,5,27,4,55,21,0
IndiGo,Delhi,Cochin,DEL → HYD → COK,320,1,5,9,6,50,12,10
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1475,1,3,9,8,55,9,30
SpiceJet,Delhi,Cochin,DEL → BLR → COK,295,1,6,9,17,55,22,50
GoAir,Delhi,Cochin,DEL → AMD → COK,370,1,5,1,7,25,13,35
SpiceJet,Chennai,Kolkata,MAA → CCU,140,0,5,6,17,45,20,5
IndiGo,Kolkata,Banglore,CCU → PNQ → BLR,315,1,5,21,21,0,2,15
IndiGo,Delhi,Cochin,DEL → HYD → COK,425,1,4,15,5,5,12,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,750,1,6,27,13,0,1,30
IndiGo,Kolkata,Banglore,CCU → BLR,165,0,3,3,17,15,20,0
Air India,Delhi,Cochin,DEL → BOM → COK,375,1,6,3,13,0,19,15
Air India,Kolkata,Banglore,CCU → BOM → AMD → BLR,1200,2,5,21,9,25,5,25
Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,480,1,3,12,8,45,16,45
Multiple carriers,Delhi,Cochin,DEL → IXU → BOM → COK,460,2,6,3,17,50,1,30
IndiGo,Delhi,Cochin,DEL → BOM → COK,810,1,6,6,7,30,21,0
Jet Airways,Delhi,Cochin,DEL → BHO → BOM → COK,1365,2,3,9,5,40,4,25
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,5,18,11,30,14,5
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1365,1,5,1,20,25,19,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,615,1,5,9,8,45,19,0
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,810,2,5,21,5,30,19,0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,315,1,3,18,8,0,13,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,395,1,6,9,21,50,4,25
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,965,1,4,1,6,30,22,35
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,5,18,7,10,10,10
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,590,1,5,15,6,30,16,20
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1380,2,6,24,20,15,19,15
Air India,Delhi,Cochin,DEL → COK,170,0,6,1,5,10,8,0
IndiGo,Delhi,Cochin,DEL → HYD → COK,320,1,6,1,6,50,12,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,660,1,6,27,10,0,21,0
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,1410,2,6,24,19,45,19,15
Air India,Delhi,Cochin,DEL → HYD → BOM → COK,2170,2,3,3,7,5,19,15
Air India,Delhi,Cochin,DEL → MAA → COK,1255,1,6,27,12,30,9,25
IndiGo,Delhi,Cochin,DEL → COK,195,0,3,15,5,35,8,50
Jet Airways,Delhi,Cochin,DEL → COK,195,0,6,12,11,0,14,15
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,560,2,6,9,9,40,19,0
IndiGo,Delhi,Cochin,DEL → MAA → COK,315,1,5,9,7,15,12,30
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,5,9,22,45,0,15
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,450,1,6,12,21,10,4,40
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,3,12,14,20,16,55
IndiGo,Delhi,Cochin,DEL → BOM → COK,860,1,5,9,6,40,21,0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1280,1,6,6,7,5,4,25
Vistara,Kolkata,Banglore,CCU → DEL → BLR,630,1,3,24,9,55,20,25
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1485,1,6,3,18,15,19,0
Jet Airways,Delhi,Cochin,DEL → COK,195,0,6,15,11,0,14,15
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1335,1,3,24,6,30,4,45
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1640,1,5,6,17,0,20,20
Jet Airways,Delhi,Cochin,DEL → BOM → COK,360,1,6,15,13,0,19,0
IndiGo,Banglore,Delhi,BLR → DEL,170,0,6,3,8,30,11,20
Air Asia,Delhi,Cochin,DEL → BLR → COK,470,1,5,27,7,55,15,45
Jet Airways,Delhi,Cochin,DEL → COK,195,0,6,1,11,0,14,15
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,6,1,5,55,8,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1315,1,5,9,14,5,12,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,520,1,5,15,10,20,19,0
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,5,1,13,15,14,45
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,380,1,3,6,8,55,15,15
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,750,1,5,1,9,35,22,5
IndiGo,Banglore,Delhi,BLR → DEL,170,0,5,27,10,10,13,0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,695,1,3,18,21,25,9,0
IndiGo,Banglore,Delhi,BLR → DEL,185,0,6,21,18,15,21,20
Air India,Delhi,Cochin,DEL → BLR → COK,1590,1,3,6,20,30,23,0
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,540,1,5,27,7,10,16,10
Vistara,Banglore,New Delhi,BLR → DEL,165,0,3,3,9,50,12,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,800,1,5,9,18,55,8,15
Air India,Kolkata,Banglore,CCU → DEL → COK → BLR,1215,2,5,1,17,30,13,45
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,495,1,3,18,7,0,15,15
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,630,1,5,27,8,45,19,15
Air India,Kolkata,Banglore,CCU → DEL → AMD → BLR,1345,2,5,1,7,0,5,25
Jet Airways,Delhi,Cochin,DEL → BOM → COK,540,1,6,15,10,0,19,0
Air India,Mumbai,Hyderabad,BOM → HYD,90,0,5,24,13,55,15,25
IndiGo,Delhi,Cochin,DEL → BLR → COK,320,1,6,6,17,5,22,25
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1025,1,6,6,6,30,23,35
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,810,2,6,15,5,30,19,0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,805,1,6,3,15,0,4,25
Air Asia,Kolkata,Banglore,CCU → DEL → BLR,710,1,6,6,7,35,19,25
SpiceJet,Kolkata,Banglore,CCU → BLR,150,0,3,24,9,0,11,30
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,480,1,6,24,17,30,1,30
Multiple carriers Premium economy,Delhi,Cochin,DEL → BOM → COK,680,1,3,21,7,30,18,50
IndiGo,Delhi,Cochin,DEL → BOM → COK,810,1,4,9,7,30,21,0
Multiple carriers,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,835,3,6,12,11,35,1,30
Air India,Kolkata,Banglore,CCU → BOM → COK → BLR,1255,2,5,21,16,50,13,45
Air India,Delhi,Cochin,DEL → BOM → COK,640,1,5,18,21,0,7,40
Air India,Banglore,New Delhi,BLR → HYD → VGA → DEL,1625,2,3,15,8,15,11,20
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,5,15,17,45,20,45
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,1130,2,6,24,9,35,4,25
Air India,Delhi,Cochin,DEL → BOM → COK,675,1,3,9,8,0,19,15
IndiGo,Kolkata,Banglore,CCU → BLR,160,0,3,1,17,15,19,55
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,910,2,5,9,21,25,12,35
Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,1555,1,3,6,7,30,9,25
IndiGo,Banglore,New Delhi,BLR → BOM → DEL,300,1,3,1,19,35,0,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,455,1,3,24,21,10,4,45
Air India,Delhi,Cochin,DEL → COK,170,0,4,18,5,10,8,0
Air India,Kolkata,Banglore,CCU → BOM → COK → BLR,1700,2,5,21,9,25,13,45
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1365,1,3,1,11,40,10,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1450,1,3,6,22,50,23,0
Air India,Delhi,Cochin,DEL → BOM → COK,760,1,6,3,19,0,7,40
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,6,15,11,35,14,0
IndiGo,Banglore,New Delhi,BLR → DEL,165,0,3,15,1,30,4,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1475,1,3,3,18,15,18,50
Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,1140,2,4,9,9,25,4,25
Vistara,Banglore,New Delhi,BLR → DEL,160,0,3,3,7,0,9,40
Air India,Kolkata,Banglore,CCU → DEL → BLR,1435,1,5,24,20,30,20,25
Air India,Banglore,New Delhi,BLR → CCU → GAU → DEL,665,2,3,12,11,5,22,10
IndiGo,Banglore,Delhi,BLR → DEL,170,0,5,18,13,0,15,50
IndiGo,Delhi,Cochin,DEL → BLR → COK,310,1,4,15,17,5,22,15
Air India,Kolkata,Banglore,CCU → IXR → DEL → BLR,1625,2,5,12,5,50,8,55
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,840,1,6,24,7,0,21,0
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,4,12,15,15,18,10
IndiGo,Delhi,Cochin,DEL → BLR → COK,290,1,6,27,15,10,20,0
Jet Airways,Delhi,Cochin,DEL → BDQ → BOM → COK,600,2,6,15,18,25,4,25
IndiGo,Delhi,Cochin,DEL → AMD → COK,355,1,3,21,7,45,13,40
Air India,Kolkata,Banglore,CCU → BOM → GOI → BLR,765,2,5,21,16,50,5,35
Vistara,Banglore,New Delhi,BLR → AMD → DEL,915,1,3,1,6,40,21,55
Jet Airways,Delhi,Cochin,DEL → BOM → COK,600,1,6,15,9,0,19,0
Air Asia,Kolkata,Banglore,CCU → BLR,150,0,6,27,22,50,1,20
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,620,1,3,21,15,15,1,35
Air India,Kolkata,Banglore,CCU → IXR → DEL → BLR,1625,2,5,18,5,50,8,55
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,5,15,13,15,14,45
IndiGo,Delhi,Cochin,DEL → BOM → COK,975,1,5,27,9,15,1,30
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,3,27,15,10,17,45
Jet Airways,Banglore,Delhi,BLR → DEL,185,0,6,24,18,55,22,0
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,5,1,17,45,20,45
Air Asia,Kolkata,Banglore,CCU → BLR,150,0,4,15,19,55,22,25
Air India,Mumbai,Hyderabad,BOM → HYD,90,0,3,1,13,55,15,25
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1200,1,5,18,14,5,10,5
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,4,3,5,55,8,35
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,3,15,7,55,10,15
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,5,9,5,55,8,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,510,1,5,21,14,5,22,35
IndiGo,Banglore,Delhi,BLR → DEL,165,0,4,27,6,5,8,50
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,435,1,3,6,14,5,21,20
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,3,12,22,5,0,30
SpiceJet,Kolkata,Banglore,CCU → BLR,140,0,3,6,22,20,0,40
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,450,1,3,6,8,0,15,30
IndiGo,Kolkata,Banglore,CCU → HYD → BLR,265,1,5,12,19,20,23,45
Air India,Banglore,Delhi,BLR → DEL,170,0,5,27,13,20,16,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,840,1,6,6,7,0,21,0
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,6,9,11,10,14,5
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,830,2,6,15,14,35,4,25
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,5,1,15,15,18,10
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1225,1,3,21,8,0,4,25
Jet Airways,Delhi,Cochin,DEL → BOM → COK,540,1,5,21,10,0,19,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,435,1,6,1,18,15,1,30
IndiGo,Banglore,Delhi,BLR → DEL,175,0,6,3,18,55,21,50
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1075,1,5,15,17,0,10,55
GoAir,Kolkata,Banglore,CCU → BOM → BLR,495,1,5,9,23,30,7,45
Air India,Delhi,Cochin,DEL → BOM → COK,555,1,5,27,10,0,19,15
Air India,Kolkata,Banglore,CCU → HYD → BLR,965,1,4,6,19,0,11,5
IndiGo,Banglore,Delhi,BLR → DEL,165,0,6,27,1,30,4,15
IndiGo,Banglore,Delhi,BLR → DEL,170,0,4,1,10,10,13,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,695,1,3,21,14,0,1,35
Air India,Delhi,Cochin,DEL → BLR → COK,320,1,6,27,17,40,23,0
IndiGo,Mumbai,Hyderabad,BOM → HYD,85,0,3,9,9,10,10,35
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,900,2,5,9,13,25,4,25
Air India,Kolkata,Banglore,CCU → BLR,155,0,3,18,20,45,23,20
Air Asia,Banglore,Delhi,BLR → DEL,170,0,6,21,23,55,2,45
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4,21,4,40,7,15
Air Asia,Banglore,Delhi,BLR → DEL,170,0,5,27,4,55,7,45
IndiGo,Kolkata,Banglore,CCU → GAU → BLR,320,1,5,24,15,10,20,30
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,2295,2,5,9,5,0,19,15
IndiGo,Delhi,Cochin,DEL → HYD → COK,265,1,3,21,7,35,12,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,915,1,3,21,10,20,1,35
Air India,Delhi,Cochin,DEL → MAA → COK,765,1,5,24,20,40,9,25
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1505,1,6,9,11,30,12,35
IndiGo,Delhi,Cochin,DEL → HYD → COK,560,1,6,6,6,50,16,10
Air India,Mumbai,Hyderabad,BOM → GOI → PNQ → HYD,710,2,3,12,5,5,16,55
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,385,1,6,24,12,50,19,15
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,315,1,3,15,7,0,12,15
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,450,1,5,21,18,0,1,30
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,6,6,19,5,20,35
Air India,Banglore,New Delhi,BLR → HBX → BOM → AMD → DEL,715,3,3,3,12,0,23,55
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,440,1,6,9,11,40,19,0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1365,1,5,6,20,25,19,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,690,1,5,21,7,30,19,0
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,1580,2,3,21,7,5,9,25
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2525,2,3,21,10,20,4,25
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,800,1,4,1,6,30,19,50
IndiGo,Kolkata,Banglore,CCU → HYD → BLR,265,1,4,15,19,20,23,45
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,830,1,5,27,11,40,1,30
IndiGo,Kolkata,Banglore,CCU → HYD → BLR,290,1,4,24,15,15,20,5
IndiGo,Delhi,Cochin,DEL → BOM → COK,420,1,3,9,18,35,1,35
IndiGo,Delhi,Cochin,DEL → COK,195,0,3,18,21,5,0,20
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,1220,2,5,21,13,5,9,25
Air India,Banglore,Delhi,BLR → DEL,165,0,4,15,17,0,19,45
SpiceJet,Chennai,Kolkata,MAA → CCU,140,0,3,15,17,45,20,5
Air Asia,Banglore,New Delhi,BLR → DEL,170,0,3,1,5,50,8,40
Air India,Kolkata,Banglore,CCU → BLR,150,0,5,24,14,15,16,45
Jet Airways,Banglore,Delhi,BLR → DEL,185,0,5,3,18,55,22,0
Air India,Mumbai,Hyderabad,BOM → IDR → DEL → HYD,1840,2,3,6,12,45,19,25
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4,1,20,20,22,55
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,470,1,5,15,11,25,19,15
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,1595,2,5,27,16,40,19,15
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1775,2,5,9,13,25,19,0
IndiGo,Kolkata,Banglore,CCU → BBI → BLR,330,1,5,6,7,10,12,40
Air India,Delhi,Cochin,DEL → MAA → COK,965,1,6,3,17,20,9,25
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,710,1,3,6,7,0,18,50
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,750,1,5,21,9,35,22,5
Air India,Kolkata,Banglore,CCU → BOM → BLR,905,1,5,9,16,50,7,55
Air India,Delhi,Cochin,DEL → JDH → BOM → COK,1820,2,3,3,12,55,19,15
Air Asia,Banglore,Delhi,BLR → DEL,170,0,5,12,4,55,7,45
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1580,2,5,9,16,55,19,15
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1625,1,4,1,20,20,23,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1275,1,3,12,18,55,16,10
Air India,Delhi,Cochin,DEL → BOM → COK,1660,1,3,1,4,0,7,40
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1570,1,5,1,17,0,19,10
IndiGo,Delhi,Cochin,DEL → BLR → COK,290,1,6,9,15,10,20,0
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,3,1,11,35,14,0
IndiGo,Kolkata,Banglore,CCU → MAA → BLR,275,1,4,24,19,35,0,10
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,5,1,5,45,7,15
IndiGo,Kolkata,Banglore,CCU → MAA → BLR,290,1,6,12,8,10,13,0
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1655,1,6,9,7,10,10,45
IndiGo,Delhi,Cochin,DEL → BOM → COK,300,1,4,6,10,35,15,35
Air India,Kolkata,Banglore,CCU → GAU → IMF → DEL → BLR,1040,3,3,24,5,55,23,15
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,600,1,6,24,9,15,19,15
Air India,Banglore,New Delhi,BLR → MAA → DEL,480,1,3,6,11,50,19,50
IndiGo,Delhi,Cochin,DEL → COK,185,0,3,27,14,30,17,35
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,5,21,22,15,0,50
Jet Airways,Delhi,Cochin,DEL → JDH → BOM → COK,440,2,5,27,11,40,19,0
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,1410,2,3,27,19,45,19,15
IndiGo,Delhi,Cochin,DEL → HYD → COK,570,1,3,27,6,40,16,10
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1415,1,5,9,13,0,12,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,800,1,5,21,20,0,9,20
Vistara,Kolkata,Banglore,CCU → DEL → BLR,965,1,6,6,17,0,9,5
IndiGo,Delhi,Cochin,DEL → HYD → COK,835,1,5,18,8,35,22,30
SpiceJet,Banglore,New Delhi,BLR → DEL,170,0,3,9,20,30,23,20
SpiceJet,Kolkata,Banglore,CCU → BLR,145,0,5,18,9,0,11,25
IndiGo,Banglore,Delhi,BLR → DEL,175,0,5,6,0,30,3,25
Air Asia,Kolkata,Banglore,CCU → BLR,150,0,4,6,19,55,22,25
SpiceJet,Kolkata,Banglore,CCU → BLR,160,0,3,6,6,55,9,35
SpiceJet,Kolkata,Banglore,CCU → KNU → BLR,435,1,5,18,11,35,18,50
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,720,1,5,18,9,0,21,0
IndiGo,Banglore,Delhi,BLR → DEL,170,0,6,1,13,0,15,50
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,5,9,11,35,14,0
Air India,Banglore,New Delhi,BLR → MAA → DEL,1265,1,3,1,11,50,8,55
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,810,2,6,3,5,30,19,0
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,920,1,6,15,7,10,22,30
IndiGo,Banglore,Delhi,BLR → DEL,180,0,6,27,16,55,19,55
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,455,1,6,15,11,40,19,15
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,6,27,13,15,15,35
Air India,Kolkata,Banglore,CCU → BOM → COK → BLR,955,2,3,24,9,25,1,20
Jet Airways,Delhi,Cochin,DEL → BOM → COK,360,1,6,12,13,0,19,0
Air India,Kolkata,Banglore,CCU → DEL → AMD → BLR,1345,2,6,9,7,0,5,25
Multiple carriers,Delhi,Cochin,DEL → IXU → BOM → COK,460,2,6,1,17,50,1,30
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,1385,2,5,6,9,50,8,55
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,6,21,19,35,21,55
IndiGo,Kolkata,Banglore,CCU → BLR,150,0,5,12,15,15,17,45
IndiGo,Banglore,Delhi,BLR → DEL,165,0,6,15,6,5,8,50
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1295,1,6,9,15,0,12,35
SpiceJet,Chennai,Kolkata,MAA → CCU,135,0,5,6,9,45,12,0
IndiGo,Kolkata,Banglore,CCU → BLR,160,0,4,12,21,25,0,5
SpiceJet,Delhi,Cochin,DEL → BLR → COK,375,1,3,9,16,35,22,50
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,1385,2,5,15,9,50,8,55
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,4,12,8,20,11,20
IndiGo,Delhi,Cochin,DEL → HYD → COK,665,1,5,18,5,5,16,10
IndiGo,Delhi,Cochin,DEL → BOM → COK,630,1,6,9,15,0,1,30
Air India,Delhi,Cochin,DEL → COK,185,0,6,18,18,5,21,10
IndiGo,Delhi,Cochin,DEL → PNQ → COK,305,1,5,18,23,30,4,35
IndiGo,Chennai,Kolkata,MAA → CCU,145,0,6,21,11,35,14,0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,360,1,6,9,13,0,19,0
Air India,Kolkata,Banglore,CCU → BBI → BLR,245,1,5,24,9,10,13,15
Jet Airways,Delhi,Cochin,DEL → MAA → BOM → COK,2315,2,3,27,5,10,19,45
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,690,1,5,24,7,30,19,0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,865,1,5,9,14,0,4,25
IndiGo,Banglore,Delhi,BLR → DEL,175,0,5,27,7,10,10,5
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,6,21,8,20,11,20
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,380,1,3,21,7,0,13,20
Air India,Delhi,Cochin,DEL → MAA → COK,965,1,4,6,17,20,9,25
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,345,1,5,9,14,5,19,50
Air Asia,Banglore,Delhi,BLR → DEL,170,0,6,9,4,55,7,45
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,540,1,3,6,7,10,16,10
Air India,Delhi,Cochin,DEL → MAA → COK,765,1,5,15,20,40,9,25
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,5,6,11,10,14,5
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,920,1,6,12,7,10,22,30
Multiple carriers,Delhi,Cochin,DEL → IDR → BOM → COK,625,2,5,21,15,5,1,30
IndiGo,Kolkata,Banglore,CCU → BLR,150,0,6,9,15,15,17,45
IndiGo,Kolkata,Banglore,CCU → BLR,170,0,3,3,5,30,8,20
Air India,Delhi,Cochin,DEL → COK,170,0,3,18,5,10,8,0
Air India,Mumbai,Hyderabad,BOM → BHO → DEL → HYD,1795,2,3,12,6,0,11,55
Air India,Banglore,New Delhi,BLR → COK → DEL,785,1,3,9,22,0,11,5
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2240,2,3,21,5,30,18,50
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,795,1,3,3,2,15,15,30
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,5,3,19,50,22,50
IndiGo,Delhi,Cochin,DEL → BOM → COK,570,1,3,3,11,30,21,0
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,1845,2,6,27,12,15,19,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,730,1,6,12,21,10,9,20
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,845,1,6,9,4,55,19,0
